Ausgabe;Autoren;Rubrik;Titel;Seiten;Abstract
"2016-3";"Thomas Püttmann";"Optik";"Das Hyper-Pseudoskop";"13–15";"Dinosaurierköpfe ragen bedrohlich weit aus der Leinwand heraus, ein Blick aus dem Hochhaus nach unten löst Höhenangst aus – solche 3D-Effekte kennt man aus dem Kino. Mit nur 18 fischertechnik-Bauteilen lässt sich aber auch der Alltagswelt eine ungewohnte räumliche Tiefe verleihen oder, noch effektvoller, die räumliche Tiefenstaffelung in bestimmten Bereichen des Gesichtsfelds umkehren."
"2016-3";"Harald Steinhaus";"Mechanik";"Verstellbare Propeller";"16–21";"Windkraftanlagen, Propellerflugzeuge und die meisten Schiffe müssen mit wechselnder Stärke der anstehenden Strömung (Luft oder Wasser) zurechtkommen und brauchen daher verstellbare Propeller, d. h. solche, bei denen man den Anstellwinkel der Blätter verändern kann. Ein Hubschrauber in der meist verwendeten Bauweise löst das gleiche Problem gleich zweimal: der Heckrotor als Ganzes und die kollektive Blattverstellung am Hauptrotor funktionieren als verstellbare Propeller. Die zyklische Blattverstellung eines Hubschraubers fügt noch eine weitere Komponente hinzu [1]. Aber selbst wenn man im Umkehrschluss annimmt, dass ein Verstellpropeller leichter zu bauen ist, steht man immer noch vor einem nicht so trivialen Problem. Ja, wenn denn fischertechnik eine Taumelscheibe als fertiges Bauteil hätte... So aber muss man auf sperrig bauende Alternativen ausweichen, die sich auch wenig für realistische Drehzahlen und die damit verbundenen Fliehkräfte eignen."
"2016-3";"Rüdiger Riedel";"Elektromechanik";"Der etwas andere Motor";"22–25";"Die Konstruktion von Elektromotoren mit fischertechnik hat schon immer fasziniert. Seit der Verfügbarkeit starker Neodym-Magneten eröffnen sich dafür ganz neue Möglichkeiten [1, 2, 4]. Die Funktionsweise des in diesem Beitrag vorgestellten Motortyps ist besonders überraschend – auch wenn der Motor selbst fast kein Drehmoment erzeugt…"
"2016-3";"Ralf Geerken";"Grundlagen";"Wecke den Erfinder in Dir";"26–28";"fischertechnik ist ein Baukastensystem, mit dem sich fast jede Idee eines technischen Systems prototypisch als Modell realisieren lässt. Was aber, wenn nicht die Bauteile, wohl aber die Ideen knapp sind?"
"2016-3";"Andreas Tacke";"Tipps & Tricks";"fischertechnik-Nutprofile selbst herstellen (2)";"29–30";"In meinem Beitrag in der ft:pedia 1/2016 [1] habe ich vorgestellt, wie sich eine fischertechnik-Nut mittels einer Fräsmaschine recht einfach herstellen lässt. Dort ist die „runde“ Nut beschrieben. Heute zeige ich, wie man eine abgeflachte Nut herstellen kann…"
"2016-3";"Peter King";"Tipps & Tricks";"Tips on using the fischertechnik TXT Controller";"31–32";"Did you know that you can use non-fischertechnik webcams with the TXT controller? Or that you can use the fischertechnik camera directly with Android devices? Read on to learn some details about the TXT controller that you might not have been aware of."
"2016-3";"Dirk Wölffel";"Tipps & Tricks";"Große Modelle mit nur einer fischertechnik-IR-Fernsteuerung ansteuern";"33–34";"Wie steuert man komplexe mobile fischertechnik-Modelle mit nur einer fischertechnik-IR-Fernsteuerung? Spätestens bei mehr als vier Motoren oder acht Lämpchen reicht eine IR-Fernsteuerung scheinbar nicht mehr aus, um das Modell anzusteuern – aber man möchte deshalb ja nicht gleich mehrere Fernsteuerungen erwerben. Tatsächlich genügt meist eine einzige – sofern man weiß, wie …"
"2016-3";"Dirk Uffmann";"Computing";"Codes der fischertechnik-Infrarot-Fernsteuerungen";"35–42";"Wer den Sender oder den Empfänger einer der fischertechnik-IR-Fernsteuerungen ersetzen möchte (und nicht über einen TXT verfügt), muss den von der Fernsteuerung verwendeten Code kennen. Der Beitrag entschlüsselt das IR-Protokoll sowie die Codierung des IR Control Set (30344) und des aktuellen Nachfolgers Control Set (500881)."
"2016-3";"Andreas Gail";"Computing";"RoboRISC: Visual Basic für den Robotics TXT";"43–47";"Es sollte auch für den Robotics TXT Controller eine Methode gefunden werden, um eine Programmierung über Visual Basic 2010 Express zu ermöglichen. Im folgenden Beitrag wird gezeigt, wie das mithilfe des durch fischertechnik bereitgestellten C++-Projekts möglich ist. Unter Visual Basic steht nun ein einfacher Befehlssatz bereit, „RoboRISC“ genannt (RISC = Reduced Inststruction Set Computing). Das alles (bzw. sogar besser) war zwar auch schon mit dem alten Robo TX Controller machbar; Bei dem hier vorgestellten Projekt ist aber die Nutzung der Kamera und die Weiterverarbeitung der übertragenen Bilder von besonderem Interesse."
"2016-3";"Andreas Gail";"Computing";"Hochregallager mit Kamera-Strichcodeleser, Microsoft Visual Basic 2010 und RoboRISC";"48–58";"fischertechnik-Modelle von Hochregal-Lagern gibt es viele im Internet. So wurde z. B. auch gezeigt, wie unterschiedlich gefärbte Teile automatisch erkannt und eingelagert werden. Inzwischen bietet fischertechnik eine Kamera (für die Nutzung mit einem Robotics TXT Controller) an, mit der es möglich ist, Strichcodes (bar codes) zu lesen. Das zeigt der folgende Beitrag, in dem Microsoft Visual Basic 2010 und RoboRISC (siehe den vorausgehenden Beitrag in dieser Ausgabe der ft:pedia) eingesetzt werden."
"2016-2";"Dirk Fox";"Editorial";"Die Macher kommen";"2";
"2016-2";"Stefan Falk";"Modell";"Mini-Modelle (Teil 12): Mondrakete";"5";"Nachdem es schon einen über 20 m hohen Turm auf der Convention gab [1] und für den nächsten Fan-Club-Tag eine gigantisch große Brücke angekündigt wurde [2], muss also ein richtiges Monstermodell her: Der fischertechnik-Nachbau einer 110 m hohen Mondrakete [3]!"
"2016-2";"Harald Steinhaus";"Tipps & Tricks";"Kaulquappen (Teil 8)";"6–7";"Frühjahrszeit ist auch Laichzeit für die Frösche, und Wasser gibt es ja diesmal mehr als reichlich. Also ist es kein Wunder, wenn die Kaulquappen schlüpfen. Das Thema „Flügeltüren“ und Möglichkeiten um die schwarze Kette herum stehen diesmal im Mittelpunkt."
"2016-2";"Jens Lemkamp";"Modell";"Gummiring-Pistole";"8–9";"Plötzlich Regen am Sonntag – und schon muss schnell etwas Spielspaß für die Jungs gebaut werden. Hier der ausführliche Bauvorschlag für eine schnell zu bauende Gummiring-Pistole. Aber Vorsicht! Nicht auf Menschen und Tiere anwenden – Verletzungsgefahr!"
"2016-2";"Daniel Canonica";"Modell";"Seilbahn";"10–12";"Bei uns in der Schweiz fährt an jedem besseren Hügel eine Seilbahn hoch. Manche wurden vor mehr als hundert Jahren erbaut. Interessant sind die verschiedenen Antriebstechniken und die Möglichkeiten, ohne Gefährdung von Personen besonders steile Abschnitte zu überwinden."
"2016-2";"Martin Westphal, René Trapp";"Modell";"Mini-Modelle (Teil 13): Visitenkartenhalter";"13";"Ein Visitenkartenhalter für fischertechniker."
"2016-2";"Stefan Falk";"Modell";"Urlaubskasten-Modell 2: Schrittförderer";"14–16";"Ausschließlich aus Bauteilen des in der ft:pedia-Ausgabe 1/2016 [1] zusammen gestellten Urlaubs-Baukastens besteht das hier vorgestellte einfache Schrittförderwerk."
"2016-2";"René Trapp";"Modell";"Mini-Modelle (Teil 14): Brieföffner";"17";"Wie ein fischertechniker stilecht seine Post öffnet – mit nur vier Bauteilen."
"2016-2";"Stefan Falk";"Modell";"Urlaubskasten-Modell 3: Gabelstapler";"18–27";"Die Bauteile des Urlaubs-Baukastens aus ft:pedia 1/2016 [1] wurden ja so ausgewählt, dass man damit schon nicht-triviale mechanische Konstruktionen herstellen kann. Hier folgt ein Modellvorschlag für einen Gabelstapler, in dem ich mal keinen Kettenzug, sondern eine Hebemechanik mit Zahnstangen einsetzen wollte."
"2016-2";"Dirk Wölffel";"Modell";"fischertechnik-Kegelbahn";"28–31";"Seit einiger Zeit feiern Spielgeräte wie der fischertechnik-Flipper ihr Comeback. Auf Modellbauausstellungen sind diese Modelle immer ein Publikumsmagnet. Vater gegen Sohn, wer hat die meisten Punkte. Daher lag der Gedanke nahe, etwas zu konstruieren, womit man die Besucher fesseln kann, um sie für fischertechnik zu begeistern. Auf der Suche nach einem geeigneten Modell kam mir die Idee, eine Kegelbahn zu bauen. Die Herausforderungen lagen darin, dem Original möglichst nahe zu kommen und Mechanik und Elektronik zu verbinden."
"2016-2";"Andreas Gail";"Modell";"Tropfen-Fotografie";"32–37";"Man glaubt es kaum, aber auch beim Fotografieren von Wassertropfen kann fischertechnik eine wichtige Rolle spielen. Im vorliegenden Beitrag werden einzelne Baugruppen aus vorangegangenen ft:pedia Beiträgen kombiniert."
"2016-2";"Thomas Püttmann";"Grundlagen";"Planetengetriebe";"38–43";"Wenn Getriebe mehr als zwei An-/Abtriebe besitzen, handelt es sich um Planetengetriebe. Wir stellen zwei Beispiele vor und erklären daran, wie solche Getriebe funktionieren. Zum Schluss beschreiben wir ein Funktionsmodell eines 2-Gang-Schaltgetriebes."
"2016-2";"Andreas Gail";"Elektromechanik";"Anwendungen für Magneten (2): Rotationstransformator";"44–47";"Zu einer Zeit, zu der man bewegte Videobilder noch auf Tonbandkassetten aufzeichnete, waren Rotationstransformatoren in privaten Haushalten sehr gebräuchlich: Sie waren in den Kopftrommeln von Videorecordern verbaut. Auch wenn genau diese Anwendung heute keine Bedeutung mehr hat, haben Rotationstransformatoren durchaus das Potential, für spätere Anwendungen genau die passende Problemlösung zu werden."
"2016-2";"Matthias Dettmer";"Elektromechanik";"Synchronmotoren";"48–52";"Habt ihr schon mal eine Zeitreise gemacht? Also ich schon, mindestens zwei Mal in diesem Jahr. Nachdem ich mir Ende letzten Jahres das Buch zur „Technikgeschichte mit fischertechnik“ [1] gekauft hatte, war zuerst die Turmuhr aus Kapitel 4 (ab Seite 51) dran. Einen ersten Versuch eine Pendeluhr zu bauen, hatte ich vor etwa 43 Jahren unternommen, mit damals eher bescheidenem Erfolg. Und dann ist da das Kapitel 10 zum Elektromotor. Die beiden dort beschriebenen Synchronmotoren, also Motoren die „nur“ mit der Netzfrequenz von 50 Hertz betrieben werden, haben mich dann um 26 Jahre zurückgeschickt."
"2016-2";"Raphael Jacob";"Computing";"TXT Controller – Tipps & Tricks (2): Screenshots";"53–55";"So genannte „Screenshots“ (Bilder vom Bildschirminhalt) helfen, Fehler zu dokumentieren oder Vorgehensweisen zu veranschaulichen – z. B. im fischertechnik community forum. In diesem Beitrag erkläre ich, wie ihr Screenshots vom TXT erstellt und anschließend in ein ‚handelsübliches‘ Format konvertiert."
"2016-2";"David Holtz";"Computing";"Alternative Controller (1): Der Arduino";"56–59";"In der Reihe „Alternative Controller“ werden wir einige Projekte vorstellen, die zeigen, dass und wie man fischertechnik-Modelle mit unterschiedlichen Microcontrollern (an)steuern kann. In diesem ersten Beitrag wird die Arduino-Plattform eingeführt, die ja schon Gegenstand früherer Beiträge war, und ein Vergleich mit dem TXT-Controller unternommen."
"2016-2";"David Holtz";"Computing";"Alternative Controller (2): Infrarot-Empfänger";"60–67";"Dieser Beitrag der Reihe „Alternative Controller“ stellt eine Selbstbaulösung für einen alternativen Infrarot-Empfänger für fischertechnik vor und erklärt, wie die Kommunikation zwischen dem Handsender und dem Empfänger zustande kommt."
"2016-2";"Christian Bergschneider, Stefan Fuss";"Computing";"Alternative Controller (3): Der ftPi – ein Motor Shield für den TX(T)";"68–72";"Am TX(T)-Controller sind die vier Motorausgänge schnell belegt. Aber was, wenn das Modell etwas größer werden soll? Servos sind für Roboter klasse, lassen sich am TX(T) aber nicht direkt anschließen. Da liegt die Idee nahe, einen Motorsteuerungs-Bausatz mit PWM-Baustein an den I2C-Bus des TX(T)-Controllers anzuschließen. Vier zusätzliche Motor- und vier ServoAusgänge liefert uns unser ftPi. Aus einer Runde „An-Den-Lötkolben-Fertig-Los“ wurde schnell ein kleines Elektronikprojekt: zwar ist die Schaltung nicht kompliziert, aber der Platz für die zusätzlichen Bausteine beschränkt."
"2016-2";"Dirk Uffmann, Roland Enzenhofer";"Computing";"Wiederbelebung eines fischertechnik-Buggy-Modells von 2002";"73–80";"Ein fischertechnik-Buggy von Economatics aus dem Jahr 2002, dessen Ursprünge bis in das Jahr 1983 zurückreichen, erreichte nie seinen ursprünglichen Einsatzweck in einer englischen Schule. Wir erzählen, wo er von Roland entdeckt und erworben wurde – und was wir getan haben, um ihn zum „Leben“ zu erwecken."
"2016-2";"Dirk Uffmann, Roland Enzenhofer";"Computing";"Economatics BBC-Buggy mit moderner Elektronik im Linien-Labyrinth";"81–87";"Die englische Firma Economatics brachte 1983 den BBC-Buggy heraus, der damals von einem Heimcomputer gesteuert wurde. Hier zeigen wir eine bezüglich der Elektronik modernisierte Variante im Linien-Labyrinth mit einer Aufgabenstellung, die auch damals schon bearbeitet und in einem Fernsehbeitrag von BBC vorgestellt wurde."
"2016-1";"Dirk Fox";"Editorial";"Artur Fischer";"2";
"2016-1";"Norbert Doetsch";"Modell";"Mini-Modelle (Teil 9): Motorrad";"5";"In dieser Folge gibt es ein winziges Zweirad mit einem kleinen Gummi statt Kettentrieb."
"2016-1";"René Trapp";"Modell";"Mini-Modelle (Teil 10): Jojo";"6–7";"Es war einmal eine liebreizende Prinzessin, die kam zu ihrem altehrwürdigen Hofmechanikus und verlangte: „Baue er mir ein Jojo. Eines, wie es sonst keine hat. Eines, um das mich alle anderen Prinzessinnen beneiden. Wenn er mir das fertige Jojo in einer Stunde bringt, überhäufe ich ihn mit Gold. Wenn nicht, lasse ich ihn in den Kerker werfen…"
"2016-1";"Andreas Tacke";"Tipps & Tricks";"fischertechnik-Nutprofile selbst herstellen";"8–9";"Ohne Zweifel: „To mod or not to mod“ ist eine Grundsatzfrage. Auch wenn sich dem einen oder anderen die Nackenhaare bereits aufstellen, sobald in Hörweite des fischertechnikHobbyraums Werkzeuggeräusche zu vernehmen sind: Wenn man schon zum Bohrer greifen muss, dann soll das Ergebnis wenigstens manierlich aussehen. Wird eine funktionierende Nut gebraucht, ist guter Rat jedoch teuer. Wer kann da wohl besser helfen als TST?"
"2016-1";"René Trapp";"Tipps & Tricks";"Kleine Statik-Hilfe";"10–11";"Die Welt besteht nicht nur aus rechten Winkeln und 45°-Diagonalen. fischertechnik-Modelle auch nicht."
"2016-1";"Dirk Wölffel";"Tipps & Tricks";"Magnetkupplung für die Stromversorgung";"12–13";"Eine externe Stromversorgung der fischertechnik-Modelle mit einem zweiadrigen Kabel kann manchmal zu Problemen führen: Will man zum Beispiel die Stromquelle zwischen mehreren fertigen Modellen wechseln, muss man dabei auch immer auf die richtige Polung der Stecker achten. Bleibt man am Kabel hängen, können die Stecker oder das Kabel herausgerissen werden – im schlimmsten Fall wird sogar das Modell umgerissen. Dabei gibt es den Komfort, den Besitzer von Apple-Computern genießen, auch für fischertechnik-Modelle..."
"2016-1";"René Trapp";"Modell";"Mini-Modelle (Teil 11): Flugzeug";"14";"Flieger, grüß‘ mir die Sonne…"
"2016-1";"Harald Steinhaus";"Tipps & Tricks";"Neue ft-Teile selbst gemacht – 3D-Druck (4): Schleifringe (die Zweite), und überhaupt";"15–20";"Nachdem fischertechnik für diesen Sommer einen 3D-Drucker-Baukasten angekündigt hat, wird auch das Thema „Eigenbau von Teilen“ interessanter werden. Klar, man fängt an mit Schachfiguren und Nippes wie etwa Pokemon-Figuren, bei denen es auf Maßhaltigkeit und Kompatibilität nicht ankommt. Ich will hier nicht darüber diskutieren, ob ft-kompatible Teile aus einem ft-Drucker nun „ft-fremd“ sind oder nicht ‒ dieser Beitrag behandelt einige Aspekte, auf die man beim 3D-Druck achten sollte."
"2016-1";"Thomas Püttmann";"Tipps & Tricks";"Modellfotografie";"21–23";"Wer seine fischertechnik-Modelle anderen in der ft:pedia oder im Internet präsentieren möchte, muss sie fotografieren. In diesem Beitrag beschreibe ich, wie ich dabei vorgehe."
"2016-1";"Dirk Fox";"Grundlagen";"Geradführungen";"24–30";"Die Geschichte der Geradführungen ist eng gekoppelt mit der Entwicklung der Dampfmaschine. Inzwischen gibt es zahlreiche weitere Anwendungen für Geradführungen. Der Beitrag stellt einige elementrare Geradführungsgetriebe vor, die sich für unterschiedliche fischertechnik-Konstruktionen eignen."
"2016-1";"Stefan Falk";"Baukasten (Tipps & Tricks)";"Der Wohnzimmer-Dienstreisen-Urlaubs-Notfallkasten";"31–36";"Was macht man, wenn man abseits von seinem fischertechnik-Reich sitzt und den bestimmt bekannten „ich muss jetzt sofort diese Idee ausprobieren“-Anfall bekommt? Was tut man, wenn man im Urlaub rumhängt und man muss jetzt sofort ganz dringend etwas bauen? Vorsorge tut Not – hier kommt ein praxisgetesteter Vorschlag für einen ordentlich bestückten Kasten für „das kleine Modell zwischendurch“, der in keinem Koffer fehlen sollte."
"2016-1";"Stefan Falk";"Modell";"Scherenhub";"37–39";"Ausschließlich aus Teilen des in dieser ft:pedia-Ausgabe beschriebenen „Urlaubs-Kastens“ besteht diese Hebebühne mit Scherenhub-Mechanik."
